UMUR_KSH,JANTINA,NEGERI,DAERAH,STRATA,Mean(TOTAL_PAKW_MAKANAN),Mean(p_rent),Mean(p_lain2)
0-5 BULAN,LELAKI,SABAH,NABAWAN,LUAR BANDAR,0,313,260.33
0-5 BULAN,LELAKI,SABAH,KENINGAU,BANDAR,0,443.65,330.62
0-5 BULAN,LELAKI,SABAH,KENINGAU,LUAR BANDAR,0,331.31,212.06
0-5 BULAN,LELAKI,SABAH,TAMBUNAN,LUAR BANDAR,0,384.58,297.78
0-5 BULAN,LELAKI,SABAH,KUNAK,BANDAR,0,350.67,204.61
0-5 BULAN,LELAKI,SABAH,KUNAK,LUAR BANDAR,0,361.44,281.69
0-5 BULAN,LELAKI,SABAH,TONGOD,LUAR BANDAR,0,338.52,286.16
0-5 BULAN,LELAKI,SABAH,PUTATAN,BANDAR,0,442.87,309.43
0-5 BULAN,LELAKI,SABAH,TELUPID,LUAR BANDAR,0,436.25,354.23
0-5 BULAN,LELAKI,SABAH,KALABAKAN,LUAR BANDAR,0,378.65,245.34
0-5 BULAN,LELAKI,SABAH,MEMBAKUT,LUAR BANDAR,0,356.04,266.65
0-5 BULAN,LELAKI,SARAWAK,KUCHING,BANDAR,0,530.76,425.78
0-5 BULAN,LELAKI,SARAWAK,KUCHING,LUAR BANDAR,0,329.11,267.78
0-5 BULAN,LELAKI,SARAWAK,BAU,LUAR BANDAR,0,300.53,233.58
0-5 BULAN,LELAKI,SARAWAK,LUNDU,LUAR BANDAR,0,322.82,374.31
0-5 BULAN,LELAKI,SARAWAK,SAMARAHAN,BANDAR,0,512.08,402.05
0-5 BULAN,LELAKI,SARAWAK,SAMARAHAN,LUAR BANDAR,0,301.25,262.12
0-5 BULAN,LELAKI,SARAWAK,SERIAN,BANDAR,0,373.64,379.86
0-5 BULAN,LELAKI,SARAWAK,SERIAN,LUAR BANDAR,0,310.04,288.12
0-5 BULAN,LELAKI,SARAWAK,SIMUNJAN,LUAR BANDAR,0,248.72,263.87
0-5 BULAN,LELAKI,SARAWAK,SRI AMAN,BANDAR,0,347.03,399.75
0-5 BULAN,LELAKI,SARAWAK,SRI AMAN,LUAR BANDAR,0,196.75,348
0-5 BULAN,LELAKI,SARAWAK,LUBOK ANTU,BANDAR,0,178.91,446.84
0-5 BULAN,LELAKI,SARAWAK,LUBOK ANTU,LUAR BANDAR,0,178.91,446.84
0-5 BULAN,LELAKI,SARAWAK,BETONG,LUAR BANDAR,0,211.84,295.89
0-5 BULAN,LELAKI,SARAWAK,SARATOK,LUAR BANDAR,0,200.55,388.94
0-5 BULAN,LELAKI,SARAWAK,SARIKEI,BANDAR,0,416.85,490.47
0-5 BULAN,LELAKI,SARAWAK,SARIKEI,LUAR BANDAR,0,120.4,300.28
0-5 BULAN,LELAKI,SARAWAK,MARADONG,BANDAR,0,351.44,311.17
0-5 BULAN,LELAKI,SARAWAK,MARADONG,LUAR BANDAR,0,104.12,261.53
0-5 BULAN,LELAKI,SARAWAK,DARO,LUAR BANDAR,0,226.72,350.78
0-5 BULAN,LELAKI,SARAWAK,JULAU,LUAR BANDAR,0,107.09,327.58
0-5 BULAN,LELAKI,SARAWAK,SIBU,BANDAR,0,534.95,445.44
0-5 BULAN,LELAKI,SARAWAK,SIBU,LUAR BANDAR,0,198.39,354.03
0-5 BULAN,LELAKI,SARAWAK,DALAT,LUAR BANDAR,0,292.42,402.24
0-5 BULAN,LELAKI,SARAWAK,MUKAH,BANDAR,0,436.87,436.59
0-5 BULAN,LELAKI,SARAWAK,MUKAH,LUAR BANDAR,0,294.55,357.52
0-5 BULAN,LELAKI,SARAWAK,KANOWIT,LUAR BANDAR,0,280.96,316.51
0-5 BULAN,LELAKI,SARAWAK,BINTULU,BANDAR,0,641.17,420.36
0-5 BULAN,LELAKI,SARAWAK,BINTULU,LUAR BANDAR,0,271.1,368.49
0-5 BULAN,LELAKI,SARAWAK,TATAU,LUAR BANDAR,0,338.74,338.74
0-5 BULAN,LELAKI,SARAWAK,KAPIT,BANDAR,0,398.17,501.71
0-5 BULAN,LELAKI,SARAWAK,KAPIT,LUAR BANDAR,0,200.88,488.14
0-5 BULAN,LELAKI,SARAWAK,SONG,LUAR BANDAR,0,219.69,638.59
0-5 BULAN,LELAKI,SARAWAK,BELAGA,LUAR BANDAR,0,216.79,453.45
0-5 BULAN,LELAKI,SARAWAK,MIRI,BANDAR,0,581.8,431.43
0-5 BULAN,LELAKI,SARAWAK,MIRI,LUAR BANDAR,0,307.32,422.54
0-5 BULAN,LELAKI,SARAWAK,MARUDI,BANDAR,0,533.08,426.1
0-5 BULAN,LELAKI,SARAWAK,MARUDI,LUAR BANDAR,0,264.83,368.49
0-5 BULAN,LELAKI,SARAWAK,LIMBANG,BANDAR,0,346.23,391.7
0-5 BULAN,LELAKI,SARAWAK,LIMBANG,LUAR BANDAR,0,253.05,300.63
0-5 BULAN,LELAKI,SARAWAK,LAWAS,LUAR BANDAR,0,367.16,384.86
0-5 BULAN,LELAKI,SARAWAK,MATU,LUAR BANDAR,0,232.15,359.02
0-5 BULAN,LELAKI,SARAWAK,ASAJAYA,LUAR BANDAR,0,291.05,234.7
0-5 BULAN,LELAKI,SARAWAK,PAKAN,LUAR BANDAR,0,85.32,287.95
0-5 BULAN,LELAKI,SARAWAK,SELANGAU,LUAR BANDAR,0,175.07,531.58
0-5 BULAN,LELAKI,SARAWAK,TEBEDU,LUAR BANDAR,0,109.32,498.01
0-5 BULAN,LELAKI,SARAWAK,PUSA,LUAR BANDAR,0,268.03,190.81
0-5 BULAN,LELAKI,SARAWAK,KABONG,LUAR BANDAR,0,239.57,242.86
